TIPO_PRODUTO;NOME_PRODUTO;DATA_FINALIZACAO_PROCESSO;CATEGORIA_REGULATORIA;NUMERO_REGISTRO_PRODUTO;DATA_VENCIMENTO_REGISTRO;NUMERO_PROCESSO;CLASSE_TERAPEUTICA;EMPRESA_DETENTORA_REGISTRO;PRINCIPIO_ATIVO
MEDICAMENTO;A SAÚDE DA MULHER;26/03/2012;Novo;102351059;31/07/2029;25351668917201000;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS;57507378000365 - EMS S/A;EXTRATO FLUIDO DE CASCA DE LARANJA AMARGA + EXTRATO FLUIDO DE PASSIFLORA ALATA + SALICILATO DE SÓDIO + TINTURA AGONIADA PLUMÉRIA
MEDICAMENTO;AAS;09/09/2019;Similar;183260386;31/12/2029;25351411966201900;ANALGESICOS NAO NARCOTICOS;10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.;ACIDO ACETILSALICILICO
MEDICAMENTO;AAS PROTECT;09/09/2019;Similar;183260387;30/11/2026;25351412012201900;ANTIAGREGANTE PLAQUETARIO;10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.;ÁCIDO ACETILSALICÍLICO
MEDICAMENTO;ABBA;25/03/2019;Similar;146820078;31/03/2029;25351385248201800;AGENTES ANTINEOPLÁSICOS;05035244000123 - SUN FARMACÊUTICA DO BRASIL LTDA;acetato de abiraterona
MEDICAMENTO;ABC;24/10/2005;Similar;106890153;31/10/2025;25351141033200500;ANTIMICOTICOS PARA USO TOPICO;92695691000103 - KLEY HERTZ FARMACEUTICA S.A;CLOTRIMAZOL
MEDICAMENTO;ABCLER ABNAT;07/06/2001;Similar;144930011;30/06/2026;253510001840168;OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO;01858973000129 - AIRELA INDÚSTRIA FARMACÊUTICA LTDA.;BETAÍNA + CITRATO DE COLINA + DL-METIONINA + levometionina
MEDICAMENTO;ABELCET;21/12/2015;Novo;155730034;31/12/2025;25351533487201400;ANTI-FUNGICOS;05333542000108 - TEVA FARMACÊUTICA LTDA.;ANFOTERICINA B
MEDICAMENTO;ABERALGINA;04/06/2001;Similar;144930010;30/06/2026;253510299080047;ANALGESICOS NAO NARCOTICOS;01858973000129 - AIRELA INDÚSTRIA FARMACÊUTICA LTDA.;DIPIRONA
MEDICAMENTO;ABIDOR;18/04/2001;Similar;144930004;30/04/2016;253510299060011;ANALGESICOS;01858973000129 - AIRELA INDÚSTRIA FARMACÊUTICA LTDA.;PARACETAMOL
MEDICAMENTO;ABLOK;08/05/2000;Similar;109740100;31/05/2025;250000035789980;BETABLOQUEADORES SIMPLES;49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA;ATENOLOL
